User_name,User_ID,Artist_name,Track,valence
J,jimenezzuletajhonjanner,Twenty One Pilots,Stressed Out,0.648
J,jimenezzuletajhonjanner,Twenty One Pilots,Ride,0.566
J,jimenezzuletajhonjanner,Fall Out Boy,Centuries,0.56
J,jimenezzuletajhonjanner,Imagine Dragons,Demons,0.428
J,jimenezzuletajhonjanner,OneRepublic,Counting Stars,0.477
J,jimenezzuletajhonjanner,Imagine Dragons,Radioactive,0.236
J,jimenezzuletajhonjanner,Twenty One Pilots,Car Radio,0.612
J,jimenezzuletajhonjanner,Twenty One Pilots,Chlorine,0.315
J,jimenezzuletajhonjanner,Gen Hoshino,Comedy,0.715
J,jimenezzuletajhonjanner,Mrs. GREEN APPLE,インフェルノ,0.695
J,jimenezzuletajhonjanner,THE ORAL CIGARETTES,Kyouran Hey Kids!!,0.781
J,jimenezzuletajhonjanner,The Living Tombstone,My Ordinary Life,0.598
J,jimenezzuletajhonjanner,Måneskin,I WANNA BE YOUR SLAVE,0.958
J,jimenezzuletajhonjanner,Måneskin,Beggin',0.589
J,jimenezzuletajhonjanner,Miki Matsubara,Mayonaka no Door / Stay With Me,0.792
J,jimenezzuletajhonjanner,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),0.863
J,jimenezzuletajhonjanner,KANA-BOON,シルエット,0.384
J,jimenezzuletajhonjanner,Rick Astley,Never Gonna Give You Up,0.914
J,jimenezzuletajhonjanner,Luis Miguel,Ahora Te Puedes Marchar,0.909
J,jimenezzuletajhonjanner,Twenty One Pilots,Jumpsuit,0.235
J,jimenezzuletajhonjanner,Stellar,Ashes,0.46
J,jimenezzuletajhonjanner,Engelbert Humperdinck,A Man Without Love,0.507
J,jimenezzuletajhonjanner,STARSET,My Demons,0.1
Juan,09n35jjitgmqw8xcqmkp9nsri,J. Cole,No Role Modelz,0.494
Juan,09n35jjitgmqw8xcqmkp9nsri,Kendrick Lamar,N95,0.408
Juan,09n35jjitgmqw8xcqmkp9nsri,Fran Vasilić,Japanese Pancakes,0.37
Juan,09n35jjitgmqw8xcqmkp9nsri,Smino,No L's,0.492
Juan,09n35jjitgmqw8xcqmkp9nsri,keshi,LIMBO,0.0959
Juan,09n35jjitgmqw8xcqmkp9nsri,NF,Mansion,0.433
Juan,09n35jjitgmqw8xcqmkp9nsri,Hopsin,Ill Mind Of Hopsin 9,0.408
Juan,09n35jjitgmqw8xcqmkp9nsri,austenyo,Computer Talk,0.819
Juan,09n35jjitgmqw8xcqmkp9nsri,keshi,LIMBO,0.0841
Juan,09n35jjitgmqw8xcqmkp9nsri,Falling In Reverse,Watch The World Burn,0.353
Juan,09n35jjitgmqw8xcqmkp9nsri,Kanye West,Bound 2,0.31
Juan,09n35jjitgmqw8xcqmkp9nsri,Joyner Lucas,Ramen & OJ,0.165
Juan,09n35jjitgmqw8xcqmkp9nsri,NF,PRIDEFUL,0.0377
Juan,09n35jjitgmqw8xcqmkp9nsri,J. Cole,Snow On Tha Bluff,0.235
mcast15,marianact10-7,My Chemical Romance,Welcome to the Black Parade,0.236
mcast15,marianact10-7,Quevedo,WANDA,0.957
mcast15,marianact10-7,Lil Wayne,Mirror,0.401
mcast15,marianact10-7,Basshunter,Now You're Gone (feat. DJ Mental Theo's Bazzheadz) - Video Edit,0.354
mcast15,marianact10-7,Ñengo Flow,Gato de Noche,0.607
mcast15,marianact10-7,Eagles,Hotel California - 2013 Remaster,0.609
mcast15,marianact10-7,Rod Stewart,I Don't Want to Talk About It,0.417
mcast15,marianact10-7,Red Hot Chili Peppers,Reach Out,0.487
mcast15,marianact10-7,TOTO,Africa,0.732
mcast15,marianact10-7,TOTO,Hold the Line,0.808
mcast15,marianact10-7,Mägo de Oz,Fiesta Pagana,0.376
mcast15,marianact10-7,Mägo de Oz,Molinos De Viento,0.819
J,jimenezzuletajhonjanner,Octavio Mesa Y Su Conjunto,La Pelea Con el Diablo,0.92
J,jimenezzuletajhonjanner,TWICE,TT,0.396
J,jimenezzuletajhonjanner,TWICE,What is Love,0.569
J,jimenezzuletajhonjanner,TWICE,FANCY,0.775
J,jimenezzuletajhonjanner,TWICE,Dance The Night Away,0.779
J,jimenezzuletajhonjanner,TWICE,Like Ooh-Ahh,0.692
J,jimenezzuletajhonjanner,TWICE,CHEER UP,0.509
J,jimenezzuletajhonjanner,TWICE,Likey,0.443
J,jimenezzuletajhonjanner,TWICE,Signal,0.626
J,jimenezzuletajhonjanner,El Cuarteto De Nos,Enamorado tuyo,0.666
J,jimenezzuletajhonjanner,El Cuarteto De Nos,Ya No Sé Que Hacer Conmigo,0.502
J,jimenezzuletajhonjanner,El Cuarteto De Nos,Mario Neta,0.418
J,jimenezzuletajhonjanner,El Cuarteto De Nos,Punta Cana,0.948
J,jimenezzuletajhonjanner,Residente,Pecador,0.465
J,jimenezzuletajhonjanner,WOS,CANGURO,0.934
J,jimenezzuletajhonjanner,WOS,PURPURA,0.348
J,jimenezzuletajhonjanner,Oscu,Ahora,0.786
J,jimenezzuletajhonjanner,BABYMETAL,Gimme Chocolate!!,0.469
J,jimenezzuletajhonjanner,Keyblade,Poltergeist,0.287
J,jimenezzuletajhonjanner,Calle 13,Los Idiotas,0.674
J,jimenezzuletajhonjanner,Vau Boy,You Were With A Boy,0.799
J,jimenezzuletajhonjanner,Vau Boy,New Cool Guy,0.464
Maria Isabel Solá Valle,mivallesola,Casper Caan,Keep This to Myself,0.206
Maria Isabel Solá Valle,mivallesola,Powerwolf,Army of the Night,0.577
Maria Isabel Solá Valle,mivallesola,My Darkest Days,Every Lie,0.594
Maria Isabel Solá Valle,mivallesola,Will Brown,Mercy,0.318
Maria Isabel Solá Valle,mivallesola,Skid Row,In a Darkened Room,0.358
Maria Isabel Solá Valle,mivallesola,Ghost,Mary On A Cross,0.561
Maria Isabel Solá Valle,mivallesola,Mike Posner,I'm Not Dead Yet,0.456
Maria Isabel Solá Valle,mivallesola,Dove Cameron,Breakfast,0.486
Maria Isabel Solá Valle,mivallesola,Kordhell,Murder In My Mind,0.568
Maria Isabel Solá Valle,mivallesola,SICK LEGEND,PART OF ME HARDSTYLE (SPED UP),0.692
Maria Isabel Solá Valle,mivallesola,NAPO,El Paciente,0.584
Maria Isabel Solá Valle,mivallesola,Sabaton,The Last Battle,0.579
Maria Isabel Solá Valle,mivallesola,Sin Bandera,Suelta Mi Mano,0.354
Maria Isabel Solá Valle,mivallesola,Sin Bandera,Que Lloro,0.323
Maria Isabel Solá Valle,mivallesola,Sin Bandera,Que Me Alcance la Vida,0.287
Maria Isabel Solá Valle,mivallesola,YUJU,Play,0.4
Maria Isabel Solá Valle,mivallesola,Halsey,So Good,0.311
Maria Isabel Solá Valle,mivallesola,JVKE,golden hour,0.143
Maria Isabel Solá Valle,mivallesola,Cavetown,Lemon Boy,0.323
Maria Isabel Solá Valle,mivallesola,Conan Gray,Yours,0.172
Maria Isabel Solá Valle,mivallesola,Charlotte Sands,Special,0.918
Maria Isabel Solá Valle,mivallesola,Ricky Montgomery,Line Without a Hook,0.507
Maria Isabel Solá Valle,mivallesola,The Fray,How to Save a Life,0.361
Maria Isabel Solá Valle,mivallesola,Train,"Hey, Soul Sister",0.795
Maria Isabel Solá Valle,mivallesola,Tommee Profitt,Enemy,0.0686
Maria Isabel Solá Valle,mivallesola,XXXTENTACION,NUMB,0.196
Maria Isabel Solá Valle,mivallesola,Bring Me The Horizon,Teardrops,0.401
Maria Isabel Solá Valle,mivallesola,Tom Odell,Another Love,0.131
Maria Isabel Solá Valle,mivallesola,Anthrés,Lugares Incorrectos,0.198
Maria Isabel Solá Valle,mivallesola,Anthrés,Las Flores (Acústico),0.43
Maria Isabel Solá Valle,mivallesola,Helsinki Lambda Club,Mystery Train - feat. Wez Atlas,0.682
Maria Isabel Solá Valle,mivallesola,Mon Laferte,Tu Falta De Querer,0.441
Maria Isabel Solá Valle,mivallesola,Julio Jaramillo,Ayer y Hoy,0.693
Maria Isabel Solá Valle,mivallesola,Jackson Wang,Blow,0.823
Maria Isabel Solá Valle,mivallesola,BoyWithUke,Understand,0.917
Maria Isabel Solá Valle,mivallesola,Faaris,One Thousand Nights,0.418
Maria Isabel Solá Valle,mivallesola,Billie Eilish,NDA,0.554
Maria Isabel Solá Valle,mivallesola,Elley Duhé,MIDDLE OF THE NIGHT,0.0899
Maria Isabel Solá Valle,mivallesola,Nessa Barrett,dying on the inside - stripped,0.186
Maria Isabel Solá Valle,mivallesola,Cavetown,Juliet,0.364
Maria Isabel Solá Valle,mivallesola,ALTÉGO,Toxic Pony,0.922
Maria Isabel Solá Valle,mivallesola,Sia,Unstoppable,0.26
Maria Isabel Solá Valle,mivallesola,Adele,Love In The Dark,0.152
Maria Isabel Solá Valle,mivallesola,Clarissa,bonita e miserável,0.594
Maria Isabel Solá Valle,mivallesola,Anthrés,Amor Con Filo,0.411
Maria Isabel Solá Valle,mivallesola,Nessa Barrett,la di die (feat. jxdn),0.345
Maria Isabel Solá Valle,mivallesola,Poe the Passenger,Sweet Talk,0.512
Maria Isabel Solá Valle,mivallesola,Shakira,"Whenever, Wherever",0.867
Maria Isabel Solá Valle,mivallesola,Ricky Martin,El Ultimo Adiós - Varios Artistas Version,0.285
Maria Isabel Solá Valle,mivallesola,Shakira,Te Felicito,0.575
Maria Isabel Solá Valle,mivallesola,Maná,Mariposa Traicionera,0.815
Maria Isabel Solá Valle,mivallesola,Duina Del Mar,Arráncame las ganas - Primer Conjuro,0.529
Maria Isabel Solá Valle,mivallesola,Mitski,Washing Machine Heart,0.567
Maria Isabel Solá Valle,mivallesola,Camila,Mientes,0.31
Maria Isabel Solá Valle,mivallesola,Benson Boone,In The Stars,0.3
Maria Isabel Solá Valle,mivallesola,Felicia Lu,Anxiety,0.575
Maria Isabel Solá Valle,mivallesola,Jackson Wang,Pretty Please,0.691
Maria Isabel Solá Valle,mivallesola,Jacinto,Cielo Gris,0.0632
Maria Isabel Solá Valle,mivallesola,久保あおい,お伽話のような奇跡,0.877
Maria Isabel Solá Valle,mivallesola,DAY6,Sweet Chaos,0.529
Maria Isabel Solá Valle,mivallesola,Jackson Wang,100 Ways,0.613
Maria Isabel Solá Valle,mivallesola,G-Eazy,"Me, Myself & I",0.389
Maria Isabel Solá Valle,mivallesola,G-Eazy,Him & I (with Halsey),0.191
Maria Isabel Solá Valle,mivallesola,The Goo Goo Dolls,Iris,0.497
Maria Isabel Solá Valle,mivallesola,Phillip Phillips,"Gone, Gone, Gone",0.501
K3nnyZY,31wmparzjhqbvsn6bcijxbj245cy,XXXTENTACION,changes,0.52
K3nnyZY,31wmparzjhqbvsn6bcijxbj245cy,Ed Sheeran,Shape of You,0.931
K3nnyZY,31wmparzjhqbvsn6bcijxbj245cy,The Chainsmokers,Something Just Like This,0.446
K3nnyZY,31wmparzjhqbvsn6bcijxbj245cy,Bad Bunny,Un Verano Sin Ti,0.412
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Brothers of Metal,Kaunaz Dagaz,0.393
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Sabaton,The Attack of the Dead Men,0.242
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Brothers of Metal,Yggdrasil,0.481
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Sabaton,The Last Stand,0.498
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,System Of A Down,B.Y.O.B.,0.711
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Rammstein,Sonne,0.313
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Metallica,Nothing Else Matters,0.158
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Metallica,One,0.413
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Metallica,The Unforgiven II,0.249
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Knorkator,Wir werden alle sterben,0.464
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Rammstein,Mutter,0.0824
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Tame Impala,The Less I Know The Better,0.785
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,System Of A Down,Lonely Day,0.224
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Powerwolf,Dancing With The Dead,0.353
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Arctic Monkeys,R U Mine?,0.619
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,System Of A Down,Spiders,0.0506
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Interpol,Evil,0.637
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Powerwolf,We Drink Your Blood,0.505
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Pink Floyd,"Another Brick in the Wall, Pt. 2",0.721
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Eminem,Godzilla (feat. Juice WRLD),0.829
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,La Quinta Estacion,El Sol No Regresa,0.72
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,System Of A Down,ATWA,0.371
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Panic! At The Disco,Don't Threaten Me with a Good Time,0.59
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Panic! At The Disco,Emperor's New Clothes,0.651
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Panic! At The Disco,House of Memories,0.506
Jesus Zuluaga Moreno,nm7adjhazf7n85vkf6zxequ7p,Panic! At The Disco,High Hopes,0.703
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Philip Labes,A TV Show Called Earth,0.535
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Mon Laferte,Tu Falta De Querer - En Vivo,0.564
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Mägo de Oz,La Dama del Mar,0.701
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Cody Fry,I Hear a Symphony,0.394
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Sarah Cothran,As the World Caves In,0.254
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Nathan Evans,Wellerman - Sea Shanty,0.792
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Leslie Odom Jr.,Non-Stop,0.441
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,AJR,Karma,0.212
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Jamie Muscato,Meant to be Yours,0.464
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Renée Elise Goldsberry,Satisfied,0.478
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Leslie Odom Jr.,Your Obedient Servant,0.619
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,OR3O,Help Me,0.452
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,El Cuarteto De Nos,Cómo pasa el tiempo,0.935
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,El Cuarteto De Nos,No llora,0.373
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,El Cuarteto De Nos,Habla tu espejo,0.613
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Nordex,"Acacia (From ""Pokémon GOTCHA!"")",0.644
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Scotty Sire,Mister Glassman,0.504
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Write Out Loud,Don't Trust Her,0.699
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Write Out Loud,Little Miss Perfect,0.525
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Write Out Loud,Android Ashley,0.735
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Loïc Nottet,Mr/Mme,0.319
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Hugh Jackman,The Other Side,0.31
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Destripando la Historia,Hades,0.633
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Franco Escamilla,El y Yo,0.538
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Lollia,My R,0.896
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Original Broadway Cast of Hamilton,"Who Lives, Who Dies, Who Tells Your Story",0.156
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Lin-Manuel Miranda,My Shot,0.568
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,AJR,Karma,0.212
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Måneskin,CORALINE,0.321
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Andra & The Backbone,Sempurna,0.384
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Egg,sorry haha i fell asleep,0.403
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Zach Callison,I'd Rather Be Me (With You) - Single Version,0.486
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Rare Americans,Brittle Bones Nicky,0.71
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Kristen Anderson-Lopez,Agatha All Along,0.819
J,jimenezzuletajhonjanner,The Living Tombstone,It's Been So Long,0.458
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Steven Universe,Love Like You (feat. Rebecca Sugar) - End Credits,0.292
J,jimenezzuletajhonjanner,AJR,World's Smallest Violin,0.684
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Bon Jovi,Story Of My Life,0.607
J,jimenezzuletajhonjanner,Maroon 5,Maps,0.879
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Meimuna,La tristesse du diable,0.179
J,jimenezzuletajhonjanner,Imagine Dragons,Warriors,0.309
Laureano Lafaurie Del Villar,21nkonqixyujyyuxcgner5p2i,Kimiko Glenn,When He Sees Me,0.424
J,jimenezzuletajhonjanner,KISS,I Was Made For Lovin' You,0.867
J,jimenezzuletajhonjanner,Akano,"Blue Bird (From ""Naruto Shippuden"")",0.691
J,jimenezzuletajhonjanner,7!!,ラヴァーズ,0.647
J,jimenezzuletajhonjanner,Carla,Bim Bam toi,0.467
J,jimenezzuletajhonjanner,Kate Bush,Running Up That Hill (A Deal With God),0.197
J,jimenezzuletajhonjanner,泰葉,Fly-day Chinatown,0.669
J,jimenezzuletajhonjanner,Junko Yagami,黄昏のBAY CITY,0.842
J,jimenezzuletajhonjanner,RBD,Ser O Parecer,0.908
J,jimenezzuletajhonjanner,Dead Or Alive,You Spin Me Round (Like a Record),0.918
J,jimenezzuletajhonjanner,Miranda!,Don,0.961
J,jimenezzuletajhonjanner,Miranda!,Traición,0.863
J,jimenezzuletajhonjanner,Pitbull,I Feel Good,0.493
J,jimenezzuletajhonjanner,Michael Bublé,Sway,0.737
J,jimenezzuletajhonjanner,Felsenstein,Go Go Go Go! - Nightcore Version,0.639
Maria Isabel Solá Valle,mivallesola,Mario Rikaband,Si Tu No Estás,0.682
J,jimenezzuletajhonjanner,Imagine Dragons,Enemy - From the series Arcane League of Legends,0.52
J,jimenezzuletajhonjanner,Feeling Every Sunset,Heartless,0.776
J,jimenezzuletajhonjanner,Goose house,光るなら,0.571
J,jimenezzuletajhonjanner,Bring Me The Horizon,Can You Feel My Heart,0.354
J,jimenezzuletajhonjanner,Alan Sutton y las criaturitas de la ansiedad,"No Tengo Hambre, Tengo Ansiedad",0.654
J,jimenezzuletajhonjanner,ギヴン,冬のはなし,0.383
J,jimenezzuletajhonjanner,Esteman,Mr. Trance,0.955
J,jimenezzuletajhonjanner,Destripando la Historia,Ares,0.366
J,jimenezzuletajhonjanner,Imagine Dragons,Whatever It Takes,0.556
J,jimenezzuletajhonjanner,Twenty One Pilots,Heathens,0.548
J,jimenezzuletajhonjanner,Marshmello,Happier,0.671
J,jimenezzuletajhonjanner,Avicii,Wake Me Up,0.643
J,jimenezzuletajhonjanner,MAN WITH A MISSION,My Hero,0.285
J,jimenezzuletajhonjanner,Belinda,Luz Sin Gravedad,0.172
J,jimenezzuletajhonjanner,Ricardo Arjona,Minutos,0.358
J,jimenezzuletajhonjanner,Ricardo Arjona,Fuiste Tú (feat. Gaby Moreno),0.267
J,jimenezzuletajhonjanner,Ricardo Arjona,Ella,0.403
J,jimenezzuletajhonjanner,The Chainsmokers,Closer,0.661
J,jimenezzuletajhonjanner,Taron Egerton,I'm Still Standing,0.691
J,jimenezzuletajhonjanner,Alan Walker,Sing Me to Sleep,0.166
J,jimenezzuletajhonjanner,Alan Walker,Darkside,0.123
J,jimenezzuletajhonjanner,Alan Walker,All Falls Down (feat. Juliander),0.662
J,jimenezzuletajhonjanner,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.765
J,jimenezzuletajhonjanner,The Weeknd,Can't Feel My Face,0.6
J,jimenezzuletajhonjanner,The Weeknd,Blinding Lights,0.334
J,jimenezzuletajhonjanner,The Weeknd,Starboy,0.486
J,jimenezzuletajhonjanner,Shawn Mendes,Stitches,0.746
J,jimenezzuletajhonjanner,MAGIC!,Rude,0.925
J,jimenezzuletajhonjanner,Maroon 5,Animals,0.328
J,jimenezzuletajhonjanner,Maroon 5,Sugar,0.884
J,jimenezzuletajhonjanner,Mark Ronson,Uptown Funk (feat. Bruno Mars),0.928
J,jimenezzuletajhonjanner,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,0.603
J,jimenezzuletajhonjanner,Bruno Mars,The Lazy Song,0.955
J,jimenezzuletajhonjanner,Carly Rae Jepsen,Call Me Maybe,0.66
J,jimenezzuletajhonjanner,Katy Perry,Firework,0.648
J,jimenezzuletajhonjanner,Katy Perry,Roar,0.436
J,jimenezzuletajhonjanner,Katy Perry,California Gurls,0.425
J,jimenezzuletajhonjanner,Adele,Rolling in the Deep,0.507
J,jimenezzuletajhonjanner,John Legend,All of Me,0.331
J,jimenezzuletajhonjanner,Fools Garden,Lemon Tree,0.643
J,jimenezzuletajhonjanner,Passenger,Let's Go,0.649
